name	street_address	postal_code	opening_date	latitude	longitude
2110 WEST WALNUT	2110 WEST WALNUT	72756	1962 	36.3422	-94.0714
1417 HWY 62/65 N	1417 HWY 62/65 N	72601	1964 	36.237	-93.0935
2901 HWY 412 EAST	2901 HWY 412 EAST	72761	1965 	36.1799	-94.5021
3801 CAMP ROBINSON RD.	3801 CAMP ROBINSON RD.	72118	1967 	34.8133	-92.3023
1621 NORTH BUSINESS 9	1621 NORTH BUSINESS 9	72110	1967 	35.1565	-92.7586
1303 SOUTH MAIN	1303 SOUTH MAIN	63801	1968 	36.8912	-89.5836
2020 SOUTH MUSKOGEE	2020 SOUTH MUSKOGEE	74464	1968 	35.9237	-94.9719
65 WAL-MART DRIVE	65 WAL-MART DRIVE	72653	1968 	36.329	-92.3578
1500 LYNN RIGGS BLVD	1500 LYNN RIGGS BLVD	74017	1968 	36.3271	-95.6119
2705 GRAND AVE	2705 GRAND AVE	64836	1968 	37.169	-94.3116
1800 S JEFFERSON	1800 S JEFFERSON	65536	1969 	37.6785	-92.6473
1310 PREACHER RD/HGWY 160	1310 PREACHER RD/HGWY 160	65775	1969 	36.7191	-91.8741
2214 FAYETTEVILLE RD	2214 FAYETTEVILLE RD	72956	1969 	35.4565	-94.3458
3200 LUSK DRIVE	3200 LUSK DRIVE	64850	1969 	36.8643	-94.3902
2500 MALCOLM ST/HWY 67 NORTH	2500 MALCOLM ST/HWY 67 NORTH	72112	1969 	35.5861	-91.247
1712 EAST OHIO	1712 EAST OHIO	64735	1970 	38.3642	-93.7604
185 ST ROBERT BLVD	185 ST ROBERT BLVD	65584	1970 	37.8242	-92.1367
4901 SO. MILL ROAD	4901 SO. MILL ROAD	74361	1970 	36.2942	-95.303
1201 N SERVICE ROAD EAST	1201 N SERVICE ROAD EAST	71270	1970 	32.5248	-92.647
3450 S. 4TH TRAFFICWAY	3450 S. 4TH TRAFFICWAY	66048	1970 	39.2988	-94.9356
2000 JOHN HARDEN DR	2000 JOHN HARDEN DR	72076	1971 	34.8794	-92.1224
4820 SO. CLARK ST	4820 SO. CLARK ST	65265	1971 	39.1793	-91.884
1101 HWY 32 WEST	1101 HWY 32 WEST	65560	1971 	37.6309	-91.5142
2415 N.W. MAIN ST	2415 N.W. MAIN ST	74354	1971 	36.8807	-94.8714
724 STADIUM WEST BLVD	724 STADIUM WEST BLVD	65109	1971 	38.5683	-92.2533
2025 BUS. HWY 60 WEST	2025 BUS. HWY 60 WEST	63841	1971 	36.7845	-89.9743
3108 N BROADWAY	3108 N BROADWAY	74953	1971 	35.0528	-94.6183
2050 WEST HWY 76	2050 WEST HWY 76	65616	1971 	36.6442	-93.2567
1710 SO. 4TH ST	1710 SO. 4TH ST	71852	1971 	33.9856	-93.8521
2250 LINCOLN AVENUE	2250 LINCOLN AVENUE	64772	1971 	37.8386	-94.3508
101 EAST BLUEMONT AVENUE	101 EAST BLUEMONT AVENUE	66502	1971 	39.185	-96.5693
2802 WEST KINGS HIGHWAY	2802 WEST KINGS HIGHWAY	72450	1971 	36.0657	-90.5102
701 WALTON DRIVE	701 WALTON DRIVE	63640	1971 	37.7792	-90.414
1907 SE WASHINGTON ST.	1907 SE WASHINGTON ST.	74745	1971 	33.8836	-94.8315
1301 HWY 24 EAST	1301 HWY 24 EAST	65270	1971 	39.4204	-92.4344
1155 HWY 65 NORTH	1155 HWY 65 NORTH	72032	1972 	35.0755	-92.434
2400 SOUTH MAIN	2400 SOUTH MAIN	66701	1972 	37.8233	-94.7339
4000 GREEN COUNTRY RD	4000 GREEN COUNTRY RD	74006	1972 	36.7334	-95.924
521 EAST CHESTNUT ST	521 EAST CHESTNUT ST	66441	1972 	39.0159	-96.8365
1802 SOUTH BUSINESS HWY 54	1802 SOUTH BUSINESS HWY 54	65026	1972 	38.3114	-92.584
1815 EAST HIGHLAND DRIVE	1815 EAST HIGHLAND DRIVE	72401	1972 	35.8448	-90.6844
2451 S. SPRINGFIELD	2451 S. SPRINGFIELD	65613	1972 	37.6168	-93.4007
1101 WEST RUTH AVE	1101 WEST RUTH AVE	74955	1972 	35.467	-94.7865
885 HIGHWAY 60	885 HIGHWAY 60	65708	1972 	36.9182	-93.9149
1911 E.JACKSON ST.	1911 E.JACKSON ST.	74743	1972 	34.0109	-95.5165
1601 ALBERT PIKE BLV	1601 ALBERT PIKE BLV	71913	1972 	34.4706	-93.088
2004 SOUTH PLEASANT	2004 SOUTH PLEASANT	72764	1972 	36.1824	-94.1082
1555 EAST MAIN	1555 EAST MAIN	72927	1972 	35.106	-93.9753
1600 WEST MAIN	1600 WEST MAIN	72476	1972 	36.068	-90.9443
1501 SOUTH RANGELINE ROAD	1501 SOUTH RANGELINE ROAD	64804	1972 	37.0472	-94.5112
301 E. COOPER AVENUE	301 E. COOPER AVENUE	64093	1972 	38.7721	-93.7352
3700 EAST HWY 18	3700 EAST HWY 18	72315	1972 	35.926	-89.9177
1705 WEST 11TH STREET	1705 WEST 11TH STREET	67337	1973 	37.0418	-95.6181
268 SO. 7TH ST.	268 SO. 7TH ST.	74301	1973 	36.6317	-95.173
1701 NORTH BLUFF STREET	1701 NORTH BLUFF STREET	65251	1973 	38.8524	-91.9581
1309 NW 12TH AVE	1309 NW 12TH AVE	65608	1973 	36.9212	-92.662
2409 EAST MAIN STREET	2409 EAST MAIN STREET	72802	1973 	35.3088	-93.1091
410 SOUTH DEWEY	410 SOUTH DEWEY	74467	1973 	35.961	-95.3611
100 SOUTH DUPREE	100 SOUTH DUPREE	38012	1973 	35.5906	-89.2609
350 PARKRIDGE ROAD	350 PARKRIDGE ROAD	63080	1973 	38.2002	-91.1409
1230 MARKET STREET	1230 MARKET STREET	72830	1973 	35.4901	-93.4851
600 HWY 71 NORTH	600 HWY 71 NORTH	71953	1973 	34.5885	-94.2157
800 HWY 64 EAST	800 HWY 64 EAST	72396	1973 	35.2298	-90.8324
650 SOUTH TRUMAN BLVD	650 SOUTH TRUMAN BLVD	63028	1973 	38.1878	-90.4077
1415 HWY 67 SOUTH	1415 HWY 67 SOUTH	72455	1973 	36.3049	-91.0141
1051 WEST KEISER AVENUE	1051 WEST KEISER AVENUE	72370	1973 	35.6964	-90.0263
1000 WEST TRIMBLE	1000 WEST TRIMBLE	72616	1973 	36.3508	-93.5632
1331 SPUR DR/ BUS. RT US HWY66	1331 SPUR DR/ BUS. RT US HWY66	65706	1973 	37.331	-92.9093
401 N STADIUM BL/BISCAYNE MALL	401 N STADIUM BL/BISCAYNE MALL	65201	1973 	38.9268	-92.29
ROUTE 6 BOX 1895	ROUTE 6 BOX 1895	74960	1973 	35.8156	-94.6502
2825 N KANSAS EXPRESSWAY	2825 N KANSAS EXPRESSWAY	65803	1973 	37.2571	-93.2901
798 WEST SERVICE ROAD	798 WEST SERVICE ROAD	72301	1974 	35.15	-90.1764
2710 N BROADWAY	2710 N BROADWAY	66762	1974 	37.4085	-94.7041
1002 WEST TAFT	1002 WEST TAFT	74066	1974 	35.9966	-96.1194
2623 WEST 7TH STREET	2623 WEST 7TH STREET	64801	1974 	37.0942	-94.5017
1750 S. PERRYVILLE	1750 S. PERRYVILLE	63775	1974 	37.7168	-89.876
60 79-BYPASS NORTH	60 79-BYPASS NORTH	71753	1974 	33.2496	-93.2043
PINECREST PLAZA SHOPPING CTR	PINECREST PLAZA SHOPPING CTR	72021	1974 	34.8678	-91.1927
17309 I-30	17309 I-30	72015	1974 	34.5647	-92.5956
1379 HOMER ROAD	1379 HOMER ROAD	71055	1974 	32.631	-93.2875
2100 NORTH MAIN	2100 NORTH MAIN	65711	1974 	37.1764	-92.2761
94 CECIL STREET	94 CECIL STREET	65020	1974 	38.0326	-92.7827
2115 S MAIN ST	2115 S MAIN ST	74344	1974 	36.5997	-94.7667
205 DEADRICK ROAD	205 DEADRICK ROAD	72335	1974 	35.0107	-90.7805
3020 SOUTH ELLIOTT	3020 SOUTH ELLIOTT	65605	1974 	36.918	-93.7106
975 US HIGHWAY 51 NORTH	975 US HIGHWAY 51 NORTH	38019	1974 	35.5606	-89.642
8445 HWY 51 NORTH	8445 HWY 51 NORTH	38053	1974 	35.348	-89.9067
407 NO. STATE ST	407 NO. STATE ST	63601	1974 	37.8442	-90.53
1700 NORTH 291 HIGHWAY	1700 NORTH 291 HIGHWAY	64701	1974 	38.6415	-94.3413
628 HWY 51 BYPASS	628 HWY 51 BYPASS	38063	1974 	35.638	-89.8686
406 SOUTH WALTON BLVD	406 SOUTH WALTON BLVD	72712	1974 	36.3625	-94.2331
406 E 22ND STREET	406 E 22ND STREET	72160	1974 	34.4799	-91.5385
15427 SO. FIRST STREET	15427 SO. FIRST STREET	38358	1974 	35.9167	-88.7663
2301 HARPER ROAD	2301 HARPER ROAD	38834	1974 	34.9283	-88.5286
1405 MIDDLE ROAD	1405 MIDDLE ROAD	42041	1974 	36.5321	-88.8913
850 WAL-MART DRIVE	850 WAL-MART DRIVE	38237	1974 	36.3539	-88.8419
101 HWY 47 EAST	101 HWY 47 EAST	63379	1975 	38.9919	-90.9865
2030 EAST MADISON	2030 EAST MADISON	71220	1975 	32.815	-91.9068
196 SHAWNEE MALL DRIVE	196 SHAWNEE MALL DRIVE	74804	1975 	35.3752	-96.9316
